open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1666170600000,7.89260000,8.06660000,7.83980000,8.05240000,259864.67000000,1666170899999,2066451.46320600,7018,137202.83000000,1092379.72645200,0
1666170900000,8.06180000,8.09000000,7.92880000,7.96610000,189570.28000000,1666171199999,1517461.59188800,5426,86402.20000000,691705.65821700,0
1666171200000,7.96730000,8.35350000,7.96440000,8.29040000,437151.96000000,1666171499999,3576544.53460600,9943,221501.88000000,1812534.93032400,0
1666171500000,8.29110000,8.34310000,8.12720000,8.15520000,359625.36000000,1666171799999,2961575.22868200,8771,167507.04000000,1379900.52158000,0
1666171800000,8.16050000,8.34000000,8.09260000,8.33200000,310164.62000000,1666172099999,2548718.18024900,6967,159677.61000000,1312936.69408300,0
1666172100000,8.33320000,8.45600000,8.26000000,8.30160000,445177.62000000,1666172399999,3721855.30729200,8849,218576.99000000,1828160.39154000,0
1666172400000,8.30420000,8.37420000,8.07280000,8.10230000,555508.85000000,1666172699999,4557219.85128400,7866,303983.54000000,2496412.23511100,0
1666172700000,8.10010000,8.12000000,8.01370000,8.07590000,268176.22000000,1666172999999,2162327.84541000,5115,128460.07000000,1036062.90165900,0
1666173000000,8.07460000,8.18790000,8.03290000,8.12880000,206885.45000000,1666173299999,1678971.23350100,3702,90231.02000000,732985.01751100,0
1666173300000,8.13000000,8.13080000,8.02270000,8.08480000,201861.15000000,1666173599999,1628738.15975400,2892,86211.21000000,695941.79245100,0
1666173600000,8.07810000,8.14600000,8.00850000,8.05530000,164870.08000000,1666173899999,1327300.36832800,2932,77320.86000000,622462.65185200,0
1666173900000,8.06000000,8.25000000,8.03430000,8.16690000,150767.76000000,1666174199999,1226143.27716300,3095,85473.89000000,695548.60752700,0
1666174200000,8.16930000,8.19880000,8.10830000,8.14410000,127308.03000000,1666174499999,1036917.29786100,2275,63098.18000000,514007.24024000,0
1666174500000,8.14890000,8.28410000,8.14790000,8.21330000,189419.90000000,1666174799999,1555960.20909000,3454,79379.74000000,651908.06772800,0
1666174800000,8.21480000,8.33500000,8.19890000,8.24320000,249673.28000000,1666175099999,2069528.78995800,4954,125691.63000000,1042405.67677300,0
1666175100000,8.24410000,8.31600000,8.20830000,8.27850000,127342.78000000,1666175399999,1052138.11310000,2605,69787.40000000,576749.57536200,0
1666175400000,8.27570000,8.28850000,8.13330000,8.14240000,162418.30000000,1666175699999,1331302.65035200,2696,73199.19000000,599928.76464700,0
1666175700000,8.14240000,8.19000000,8.01490000,8.11870000,201792.50000000,1666175999999,1634557.58631700,3235,78012.52000000,632880.09272000,0
1666176000000,8.11830000,8.14600000,8.07020000,8.13210000,126300.96000000,1666176299999,1023099.80105000,2316,41972.15000000,340244.91790800,0
1666176300000,8.13500000,8.25560000,8.07590000,8.21320000,180790.37000000,1666176599999,1474575.37199100,3521,98878.90000000,807050.72247200,0
1666176600000,8.21320000,8.24210000,8.11150000,8.11150000,210839.00000000,1666176899999,1724864.91412700,2631,98633.07000000,806953.68619200,0
1666176900000,8.11920000,8.16000000,8.10000000,8.15180000,110393.48000000,1666177199999,896651.27175300,1754,58290.84000000,473695.68487300,0
